2025-09-29 16:26:38 | INFO | 新增股票: sh.000092 - 资源50 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000093 - 180分层 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000094 - 上证上游 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000095 - 上证中游 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000096 - 上证下游 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000097 - 高端装备 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000098 - 上证F200 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000099 - 上证F300 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000100 - 上证F500 | stock_model.py:66
2025-09-29 16:26:38 | INFO | 新增股票: sh.000101 - 上证5年期信用债指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000102 - 沪投资品 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000103 - 沪消费品 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000104 - 380能源 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000105 - 380材料 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000106 - 380工业 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000107 - 380可选 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000108 - 380消费 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000109 - 380医药 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000110 - 380金融 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000111 - 380信息 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000112 - 380电信 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000113 - 380公用 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000114 - 持续产业 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000115 - 380等权 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000116 - 上证信用债100指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000117 - 380成长 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000118 - 380价值 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000119 - 380R成长 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000120 - 380R价值 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000121 - 医药主题 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000122 - 上证农业主题指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000123 - 上证180动态指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000125 - 上证180稳定指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000126 - 消费50 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000128 - 380基本 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000129 - 180波动 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000130 - 380波动 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000131 - 上证高新 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000132 - 上证100 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000133 - 上证150 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000134 - 上证银行股指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000135 - 上证180高贝塔指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000136 - 上证180低贝塔指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000137 - 上证380高贝塔指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000138 - 上证380低贝塔指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000139 - 上证可转换债券指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000141 - 上证380动态指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000142 - 上证380稳定指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000145 - 上证优势资源产业指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000146 - 上证优势制造产业指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000147 - 上证优势消费产业指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000148 - 上证消费服务领先指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000149 - 上证180红利指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000150 - 上证380红利指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000151 - 上证国有企业红利指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000152 - 上证中央企业红利指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000153 - 上证民营企业红利指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000155 - 上证市值百强指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000158 - 上证环保产业指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000159 - 上证沪股通指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000160 - 上证一带一路主题指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000161 - 上证中国制造主题指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000162 - 上证互联网+主题指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000300 - 沪深300指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000802 - 500沪市 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000805 - A股资源 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000806 - 消费服务 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000807 - 食品饮料 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000808 - 医药生物 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000814 - 细分医药 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000816 - 细分地产 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000817 - 中证兴证海西主题指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000819 - 有色金属 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000821 - 沪深300红利指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000823 - 中证800有色 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000827 - 中证环保产业指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000828 - 沪深300高贝塔指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000832 - 中证可转换债券指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000833 - 中证1-7年中高收益企债指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000841 - 中证800制药与生物科技指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000842 - 中证800等权重指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000846 - 中证财通中国可持续发展100(ECPIESG)指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000847 - 中证腾讯济安价值100A股指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000849 - 沪深300非银行金融指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000850 - 沪深300有色金属指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000851 - 百发100指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000852 - 中证1000指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000853 - 中证申万一带一路主题投资指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000854 - 中证500原材料指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000855 - 央视财经500指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000856 - 中证500工业指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000857 - 中证500医药卫生指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000858 - 中证500信息技术指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000901 - 中证南方小康产业指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000903 - 中证A100指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000904 - 中证200指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000905 - 中证500指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000906 - 中证800指数 | stock_model.py:66
2025-09-29 16:26:39 | INFO | 新增股票: sh.000908 - 沪深300能源指数 | stock_model.py:66
